"dataset","arm","escalated","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
"c_proliferum","A",FALSE,0,0,1.00207744975103,0.33549640537728
"c_proliferum","B1",FALSE,0,0,1.00460513509777,0.220000592544028
"c_proliferum","B2",FALSE,2,0,1.00353576051746,0.0541350594591824
"c_proliferum","B3",FALSE,0,0,1.00201970838995,0.336515469445608
"c_proliferum","C",FALSE,0,0,1.00201497073987,0.299370288023719
"c_proliferum","C2",FALSE,0,0,1.0014658106063,0.337871660849197
"c_proliferum","D",FALSE,0,0,1.00112507551658,0.221574015594039
"c_proliferum","SQ",FALSE,0,0,1.00243513465945,0.295642571627291
"c_proliferum2","A",FALSE,0,0,1.00241521676861,0.294016857793641
"c_proliferum2","B1",FALSE,0,0,1.00295475312204,0.192402947530905
"c_proliferum2","B2",FALSE,11,3356,1.04586683601197,0.0114181399228877
"c_proliferum2","B3",FALSE,0,0,1.00283727415882,0.190117475460998
"c_proliferum2","C",FALSE,0,0,1.00185059906633,0.28239556381997
"c_proliferum2","C2",FALSE,0,0,1.00193435300583,0.303158492413039
"c_proliferum2","D",FALSE,0,0,1.00196555656007,0.248976578866283
"c_proliferum2","SQ",FALSE,0,0,1.00603387819366,0.0684021757494103
"r_salina","A",FALSE,1,0,1.00094843781807,0.135416997257714
"r_salina","B1",FALSE,11,0,1.00133029365512,0.140115623535206
"r_salina","B2",FALSE,8,0,1.01350405617687,0.0139739617502788
"r_salina","B3",FALSE,6,0,1.00420693818936,0.229646333172873
"r_salina","C",FALSE,5,0,1.00197705421554,0.198315928162627
"r_salina","C2",TRUE,11,0,1.00114816203446,0.164614365250959
"r_salina","D",FALSE,18,0,1.00462750089342,0.143206583262869
"r_salina","SQ",FALSE,7,0,1.00155620274891,0.235841007616589
"r_salina","A_raw_dropped",FALSE,3,0,1.00671852655066,0.162996295902626
"r_salina2","A",FALSE,0,0,1.00197690777226,0.313415184379673
"r_salina2","B1",FALSE,0,0,1.00126455025926,0.405755878370108
"r_salina2","B2",FALSE,12,4907,1.00909743388977,0.060509158817548
"r_salina2","B3",FALSE,0,0,1.00370023218836,0.350477813869321
"r_salina2","C",FALSE,0,0,1.00145949695444,0.241178888065823
"r_salina2","C2",FALSE,0,0,1.00225601156995,0.331953999527581
"r_salina2","D",FALSE,0,0,1.00209183732688,0.22941683117626
"r_salina2","SQ",FALSE,0,0,1.00110289035525,0.288178522300044
"r_salina2","A_raw_dropped",FALSE,0,0,1.0026224767092,0.319236150900011
